# hostname,interval,timestamp,CPU,%usr,%nice,%sys,%iowait,%steal,%irq,%soft,%guest,%gnice,%idle
raspberrypi,1,2020-07-25 01:23:45 UTC,-1,1.81,0.00,2.33,0.00,0.00,0.00,0.00,0.00,0.00,95.87
raspberrypi,1,2020-07-25 01:23:46 UTC,-1,0.76,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,98.24
raspberrypi,1,2020-07-25 01:23:47 UTC,-1,1.27,0.00,0.76,0.00,0.00,0.00,0.00,0.00,0.00,97.97
raspberrypi,1,2020-07-25 01:23:48 UTC,-1,1.01,0.00,1.01,0.00,0.00,0.00,0.00,0.00,0.00,97.99
raspberrypi,1,2020-07-25 01:23:49 UTC,-1,1.02,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,98.47
raspberrypi,1,2020-07-25 01:23:50 UTC,-1,2.50,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,96.75
raspberrypi,1,2020-07-25 01:23:51 UTC,-1,0.50,0.00,1.01,0.25,0.00,0.00,0.00,0.00,0.00,98.24
raspberrypi,1,2020-07-25 01:23:52 UTC,-1,1.76,0.00,0.50,0.00,0.00,0.00,0.25,0.00,0.00,97.48
raspberrypi,1,2020-07-25 01:23:53 UTC,-1,1.27,0.00,1.53,0.00,0.00,0.00,0.00,0.00,0.00,97.20
raspberrypi,1,2020-07-25 01:23:54 UTC,-1,1.02,0.00,1.78,0.00,0.00,0.00,0.25,0.00,0.00,96.95
raspberrypi,1,2020-07-25 01:23:55 UTC,-1,2.06,0.00,2.57,0.00,0.00,0.00,0.51,0.00,0.00,94.86
raspberrypi,1,2020-07-25 01:23:56 UTC,-1,1.03,0.00,4.88,0.00,0.00,0.00,0.51,0.00,0.00,93.57
raspberrypi,1,2020-07-25 01:23:57 UTC,-1,1.56,0.00,1.56,0.00,0.00,0.00,0.26,0.00,0.00,96.61
raspberrypi,1,2020-07-25 01:23:58 UTC,-1,0.78,0.00,1.30,0.00,0.00,0.00,0.26,0.00,0.00,97.67
raspberrypi,1,2020-07-25 01:23:59 UTC,-1,0.79,0.00,4.47,0.00,0.00,0.00,0.26,0.00,0.00,94.47
raspberrypi,1,2020-07-25 01:24:00 UTC,-1,1.51,0.00,7.30,0.00,0.00,0.00,0.00,0.00,0.00,91.18
raspberrypi,1,2020-07-25 01:24:01 UTC,-1,1.26,0.00,2.52,0.25,0.00,0.00,0.25,0.00,0.00,95.72
raspberrypi,1,2020-07-25 01:24:02 UTC,-1,1.01,0.00,1.26,0.00,0.00,0.00,0.25,0.00,0.00,97.48
raspberrypi,1,2020-07-25 01:24:03 UTC,-1,1.26,0.00,0.51,0.00,0.00,0.00,0.00,0.00,0.00,98.23
raspberrypi,1,2020-07-25 01:24:04 UTC,-1,1.51,0.00,0.25,0.00,0.00,0.00,0.50,0.00,0.00,97.74
raspberrypi,1,2020-07-25 01:24:05 UTC,-1,1.79,0.00,1.79,0.00,0.00,0.00,0.26,0.00,0.00,96.17
raspberrypi,1,2020-07-25 01:24:06 UTC,-1,1.55,0.00,4.12,0.00,0.00,0.00,1.29,0.00,0.00,93.04
raspberrypi,1,2020-07-25 01:24:07 UTC,-1,0.76,0.00,2.03,0.00,0.00,0.00,0.51,0.00,0.00,96.71
raspberrypi,1,2020-07-25 01:24:08 UTC,-1,1.76,0.00,2.76,0.00,0.00,0.00,0.25,0.00,0.00,95.23
raspberrypi,1,2020-07-25 01:24:09 UTC,-1,0.75,0.00,3.76,0.00,0.00,0.00,1.25,0.00,0.00,94.24
raspberrypi,1,2020-07-25 01:24:10 UTC,-1,1.29,0.00,4.38,0.00,0.00,0.00,1.55,0.00,0.00,92.78
raspberrypi,1,2020-07-25 01:24:11 UTC,-1,1.31,0.00,4.45,0.26,0.00,0.00,0.00,0.00,0.00,93.98
raspberrypi,1,2020-07-25 01:24:12 UTC,-1,1.06,0.00,1.59,0.00,0.00,0.00,0.80,0.00,0.00,96.55
raspberrypi,1,2020-07-25 01:24:13 UTC,-1,1.02,0.00,5.36,0.00,0.00,0.00,1.28,0.00,0.00,92.35
raspberrypi,1,2020-07-25 01:24:14 UTC,-1,0.79,0.00,7.33,0.00,0.00,0.00,0.00,0.00,0.00,91.88
raspberrypi,1,2020-07-25 01:24:15 UTC,-1,1.75,0.00,10.00,0.00,0.00,0.00,2.25,0.00,0.00,86.00
raspberrypi,1,2020-07-25 01:24:16 UTC,-1,0.74,0.00,10.62,0.25,0.00,0.00,1.98,0.00,0.00,86.42
raspberrypi,1,2020-07-25 01:24:17 UTC,-1,1.33,0.00,2.40,0.00,0.00,0.00,0.00,0.00,0.00,96.27
raspberrypi,1,2020-07-25 01:24:18 UTC,-1,0.80,0.00,2.65,0.00,0.00,0.00,0.27,0.00,0.00,96.29
raspberrypi,1,2020-07-25 01:24:19 UTC,-1,1.06,0.00,2.91,0.00,0.00,0.00,0.26,0.00,0.00,95.77
raspberrypi,1,2020-07-25 01:24:20 UTC,-1,2.37,0.00,2.11,0.00,0.00,0.00,0.53,0.00,0.00,95.00
raspberrypi,1,2020-07-25 01:24:21 UTC,-1,1.28,0.00,3.32,0.00,0.00,0.00,2.04,0.00,0.00,93.37
raspberrypi,1,2020-07-25 01:24:22 UTC,-1,1.29,0.00,3.35,0.00,0.00,0.00,1.55,0.00,0.00,93.81
raspberrypi,1,2020-07-25 01:24:23 UTC,-1,0.76,0.00,6.80,0.00,0.00,0.00,1.76,0.00,0.00,90.68
raspberrypi,1,2020-07-25 01:24:24 UTC,-1,3.02,0.00,2.27,0.00,0.00,0.00,1.01,0.00,0.00,93.70
raspberrypi,1,2020-07-25 01:24:25 UTC,-1,1.29,0.00,1.55,0.00,0.00,0.00,0.26,0.00,0.00,96.90
raspberrypi,1,2020-07-25 01:24:26 UTC,-1,0.79,0.00,4.21,0.00,0.00,0.00,0.53,0.00,0.00,94.47
raspberrypi,1,2020-07-25 01:24:27 UTC,-1,1.04,0.00,3.90,0.00,0.00,0.00,0.26,0.00,0.00,94.81
raspberrypi,1,2020-07-25 01:24:28 UTC,-1,0.52,0.00,3.90,0.00,0.00,0.00,0.26,0.00,0.00,95.32
raspberrypi,1,2020-07-25 01:24:29 UTC,-1,1.03,0.00,5.93,0.00,0.00,0.00,0.77,0.00,0.00,92.27
raspberrypi,1,2020-07-25 01:24:30 UTC,-1,1.51,0.00,8.29,0.00,0.00,0.00,2.01,0.00,0.00,88.19
raspberrypi,1,2020-07-25 01:24:31 UTC,-1,1.28,0.00,4.62,0.26,0.00,0.00,0.51,0.00,0.00,93.33
raspberrypi,1,2020-07-25 01:24:32 UTC,-1,1.28,0.00,5.10,0.00,0.00,0.00,0.51,0.00,0.00,93.11
raspberrypi,1,2020-07-25 01:24:33 UTC,-1,1.05,0.00,3.68,0.00,0.00,0.00,0.79,0.00,0.00,94.47
raspberrypi,1,2020-07-25 01:24:34 UTC,-1,0.54,0.00,1.90,0.00,0.00,0.00,0.81,0.00,0.00,96.75
raspberrypi,1,2020-07-25 01:24:35 UTC,-1,1.27,0.00,3.80,0.00,0.00,0.00,1.52,0.00,0.00,93.42
raspberrypi,1,2020-07-25 01:24:36 UTC,-1,1.30,0.00,2.85,0.00,0.00,0.00,1.81,0.00,0.00,94.04
raspberrypi,1,2020-07-25 01:24:37 UTC,-1,1.26,0.00,6.53,0.00,0.00,0.00,2.01,0.00,0.00,90.20
raspberrypi,1,2020-07-25 01:24:38 UTC,-1,0.98,0.00,7.84,0.00,0.00,0.00,2.70,0.00,0.00,88.48
raspberrypi,1,2020-07-25 01:24:39 UTC,-1,1.01,0.00,3.02,0.00,0.00,0.00,3.02,0.00,0.00,92.96
raspberrypi,1,2020-07-25 01:24:40 UTC,-1,1.29,0.00,3.08,0.00,0.00,0.00,0.51,0.00,0.00,95.12
raspberrypi,1,2020-07-25 01:24:41 UTC,-1,0.75,0.00,7.23,0.25,0.00,0.00,1.75,0.00,0.00,90.02
raspberrypi,1,2020-07-25 01:24:42 UTC,-1,2.10,0.00,3.15,0.00,0.00,0.00,0.00,0.00,0.00,94.75
raspberrypi,1,2020-07-25 01:24:43 UTC,-1,0.51,0.00,3.86,0.00,0.00,0.00,0.00,0.00,0.00,95.63
raspberrypi,1,2020-07-25 01:24:44 UTC,-1,1.02,0.00,5.58,0.00,0.00,0.00,0.00,0.00,0.00,93.40
raspberrypi,1,2020-07-25 01:24:45 UTC,-1,1.50,0.00,7.23,0.00,0.00,0.00,0.75,0.00,0.00,90.52
raspberrypi,1,2020-07-25 01:24:46 UTC,-1,0.78,0.00,5.17,0.00,0.00,0.00,0.52,0.00,0.00,93.54
raspberrypi,1,2020-07-25 01:24:47 UTC,-1,1.06,0.00,2.66,0.00,0.00,0.00,0.27,0.00,0.00,96.01
raspberrypi,1,2020-07-25 01:24:48 UTC,-1,1.61,0.00,1.61,0.00,0.00,0.00,0.27,0.00,0.00,96.51
raspberrypi,1,2020-07-25 01:24:49 UTC,-1,0.80,0.00,2.40,0.00,0.00,0.00,0.53,0.00,0.00,96.27
raspberrypi,1,2020-07-25 01:24:50 UTC,-1,1.56,0.00,4.69,0.00,0.00,0.00,1.56,0.00,0.00,92.19
raspberrypi,1,2020-07-25 01:24:51 UTC,-1,1.53,0.00,3.32,0.26,0.00,0.00,2.81,0.00,0.00,92.09
raspberrypi,1,2020-07-25 01:24:52 UTC,-1,1.51,0.00,3.77,0.00,0.00,0.00,3.02,0.00,0.00,91.71
raspberrypi,1,2020-07-25 01:24:53 UTC,-1,0.75,0.00,5.72,0.00,0.00,0.00,1.99,0.00,0.00,91.54
raspberrypi,1,2020-07-25 01:24:54 UTC,-1,1.75,0.00,5.75,0.00,0.00,0.00,1.00,0.00,0.00,91.50
raspberrypi,1,2020-07-25 01:24:55 UTC,-1,2.03,0.00,5.58,0.00,0.00,0.00,0.76,0.00,0.00,91.62
raspberrypi,1,2020-07-25 01:24:56 UTC,-1,0.53,0.00,3.18,0.00,0.00,0.00,0.00,0.00,0.00,96.29
raspberrypi,1,2020-07-25 01:24:57 UTC,-1,1.30,0.00,5.71,0.00,0.00,0.00,0.26,0.00,0.00,92.73
raspberrypi,1,2020-07-25 01:24:58 UTC,-1,1.01,0.00,7.05,0.00,0.00,0.00,0.25,0.00,0.00,91.69
raspberrypi,1,2020-07-25 01:24:59 UTC,-1,1.00,0.00,7.73,0.25,0.00,0.00,1.00,0.00,0.00,90.02
raspberrypi,1,2020-07-25 01:25:00 UTC,-1,1.74,0.00,6.22,0.00,0.00,0.00,1.49,0.00,0.00,90.55
raspberrypi,1,2020-07-25 01:25:01 UTC,-1,2.82,0.00,6.41,0.26,0.00,0.00,0.77,0.00,0.00,89.74
raspberrypi,1,2020-07-25 01:25:02 UTC,-1,1.05,0.00,3.15,0.00,0.00,0.00,0.52,0.00,0.00,95.28
raspberrypi,1,2020-07-25 01:25:03 UTC,-1,1.33,0.00,1.86,0.00,0.00,0.00,1.06,0.00,0.00,95.74
raspberrypi,1,2020-07-25 01:25:04 UTC,-1,1.32,0.00,3.44,0.00,0.00,0.00,0.53,0.00,0.00,94.71
raspberrypi,1,2020-07-25 01:25:05 UTC,-1,2.30,0.00,3.83,0.00,0.00,0.00,1.53,0.00,0.00,92.35
raspberrypi,1,2020-07-25 01:25:06 UTC,-1,0.77,0.00,4.88,0.00,0.00,0.00,0.26,0.00,0.00,94.09
raspberrypi,1,2020-07-25 01:25:07 UTC,-1,1.25,0.00,5.49,0.00,0.00,0.00,2.49,0.00,0.00,90.77
raspberrypi,1,2020-07-25 01:25:08 UTC,-1,1.25,0.00,5.75,0.00,0.00,0.00,1.75,0.00,0.00,91.25
raspberrypi,1,2020-07-25 01:25:09 UTC,-1,0.77,0.00,4.64,0.00,0.00,0.00,0.52,0.00,0.00,94.07
raspberrypi,1,2020-07-25 01:25:10 UTC,-1,1.79,0.00,4.35,0.00,0.00,0.00,1.53,0.00,0.00,92.33
raspberrypi,1,2020-07-25 01:25:11 UTC,-1,0.76,0.00,6.84,0.00,0.00,0.00,2.03,0.00,0.00,90.38
raspberrypi,1,2020-07-25 01:25:12 UTC,-1,0.75,0.00,5.78,0.00,0.00,0.00,0.00,0.00,0.00,93.47
raspberrypi,1,2020-07-25 01:25:13 UTC,-1,1.25,0.00,4.74,0.00,0.00,0.00,0.50,0.00,0.00,93.52
raspberrypi,1,2020-07-25 01:25:14 UTC,-1,0.76,0.00,5.79,0.00,0.00,0.00,0.50,0.00,0.00,92.95
raspberrypi,1,2020-07-25 01:25:15 UTC,-1,1.79,0.00,2.05,0.00,0.00,0.00,0.51,0.00,0.00,95.64
raspberrypi,1,2020-07-25 01:25:16 UTC,-1,1.03,0.00,3.85,0.26,0.00,0.00,0.00,0.00,0.00,94.87
raspberrypi,1,2020-07-25 01:25:17 UTC,-1,1.07,0.00,2.13,0.00,0.00,0.00,0.27,0.00,0.00,96.53
raspberrypi,1,2020-07-25 01:25:18 UTC,-1,1.29,0.00,2.32,0.00,0.00,0.00,0.77,0.00,0.00,95.62
raspberrypi,1,2020-07-25 01:25:19 UTC,-1,1.06,0.00,1.06,0.00,0.00,0.00,0.79,0.00,0.00,97.09
